ts,open,high,low,close,volume,sma_50
2025-07-14 00:00:00+00:00,6274.0,6315.0,6259.75,6311.0,909223.0,
2025-07-15 00:00:00+00:00,6309.5,6343.0,6272.5,6284.0,1279068.0,
2025-07-16 00:00:00+00:00,6273.75,6308.75,6241.0,6303.25,1462969.0,
2025-07-17 00:00:00+00:00,6299.25,6345.5,6288.25,6340.5,1052843.0,
2025-07-18 00:00:00+00:00,6342.5,6357.0,6323.25,6334.75,1050307.0,
2025-07-21 00:00:00+00:00,6335.75,6374.0,6329.75,6344.75,934271.0,
2025-07-22 00:00:00+00:00,6347.0,6353.75,6318.75,6346.75,1130356.0,
2025-07-23 00:00:00+00:00,6346.5,6407.25,6342.75,6396.25,1203541.0,
2025-07-24 00:00:00+00:00,6404.0,6418.25,6391.5,6401.5,1073595.0,
2025-07-25 00:00:00+00:00,6406.75,6431.0,6401.0,6425.0,829856.0,
2025-07-28 00:00:00+00:00,6450.0,6457.75,6408.75,6422.75,972646.0,
2025-07-29 00:00:00+00:00,6424.25,6442.5,6396.25,6406.0,1122508.0,
2025-07-30 00:00:00+00:00,6404.0,6435.25,6366.75,6396.25,1302795.0,
2025-07-31 00:00:00+00:00,6435.5,6468.5,6357.5,6374.25,1857020.0,
2025-08-01 00:00:00+00:00,6359.5,6373.5,6239.5,6264.5,2287699.0,6166.85419921875
2025-08-04 00:00:00+00:00,6257.0,6370.0,6251.25,6356.0,1304652.0,6176.83919921875
2025-08-05 00:00:00+00:00,6370.0,6377.5,6315.5,6325.25,1402448.0,6187.00419921875
2025-08-06 00:00:00+00:00,6323.0,6379.5,6313.25,6371.0,1233346.0,6195.73919921875
2025-08-07 00:00:00+00:00,6371.0,6426.75,6334.5,6366.5,1458573.0,6205.01419921875
2025-08-08 00:00:00+00:00,6372.5,6425.75,6369.25,6413.5,1196497.0,6214.82919921875
2025-08-11 00:00:00+00:00,6422.75,6431.5,6387.5,6399.75,1073359.0,6224.50419921875
2025-08-12 00:00:00+00:00,6396.0,6470.0,6391.25,6468.5,1271180.0,6234.92919921875
2025-08-13 00:00:00+00:00,6468.0,6502.5,6461.0,6488.75,1111683.0,6245.07419921875
2025-08-14 00:00:00+00:00,6485.0,6496.0,6453.25,6490.5,1186070.0,6255.26419921875
2025-08-15 00:00:00+00:00,6489.25,6508.75,6461.5,6471.5,1122157.0,6265.77419921875
2025-08-18 00:00:00+00:00,6467.0,6484.25,6456.0,6469.25,860451.0,6275.02419921875
2025-08-19 00:00:00+00:00,6468.5,6477.5,6419.25,6432.5,1224317.0,6283.46919921875
2025-08-20 00:00:00+00:00,6433.0,6438.0,6362.75,6413.25,1609469.0,6290.83419921875
2025-08-21 00:00:00+00:00,6414.25,6419.0,6370.25,6388.25,1200689.0,6298.01919921875
2025-08-22 00:00:00+00:00,6392.0,6496.25,6364.0,6483.25,1420723.0,6306.69419921875
2025-08-25 00:00:00+00:00,6493.0,6494.0,6453.0,6455.5,932515.0,6316.21919921875
2025-08-26 00:00:00+00:00,6460.25,6487.5,6430.75,6482.5,1133761.0,6325.15419921875
2025-08-27 00:00:00+00:00,6486.75,6505.5,6459.25,6496.0,957730.0,6335.37419921875
2025-08-28 00:00:00+00:00,6485.0,6523.0,6471.0,6517.5,1170397.0,6346.09419921875
2025-08-29 00:00:00+00:00,6516.0,6518.0,6455.5,6472.75,0.0,6355.345
2025-09-02 00:00:00+00:00,6478.75,6491.5,6371.75,6425.5,1802584.0,6362.315
2025-09-03 00:00:00+00:00,6448.0,6464.25,6425.5,6457.25,1435997.0,6368.535
2025-09-04 00:00:00+00:00,6460.0,6516.75,6454.5,6510.75,1186477.0,6375.81
2025-09-05 00:00:00+00:00,6515.75,6541.75,6452.0,6489.75,1710784.0,6381.705
2025-09-08 00:00:00+00:00,6483.75,6516.5,6480.25,6506.0,1187985.0,6387.35
2025-09-09 00:00:00+00:00,6507.75,6536.25,6489.25,6521.75,1169514.0,6392.71
2025-09-10 00:00:00+00:00,6532.25,6565.25,6522.5,6539.75,1381759.0,6398.53
2025-09-11 00:00:00+00:00,6535.75,6600.0,6535.5,6592.5,1282669.0,6404.88
2025-09-12 00:00:00+00:00,6596.25,6606.0,6576.0,6588.25,1601056.0,6410.16
2025-09-15 00:00:00+00:00,6588.25,6623.5,6585.25,6621.5,1539732.0,6416.92
2025-09-16 00:00:00+00:00,6616.25,6639.0,6604.25,6610.75,837034.0,6423.615
2025-09-17 00:00:00+00:00,6613.0,6629.0,6554.0,6601.25,560841.0,6430.2
2025-09-18 00:00:00+00:00,6606.0,6662.0,6605.75,6635.0,339967.0,6436.755
2025-09-19 00:00:00+00:00,6640.0,6660.75,6622.75,6658.77001953125,1369003.0,6443.445400390625
